comment,language,platform,label
সরকারের উচিত শিক্ষার্থীদের ভবিষ্যৎ সুরক্ষায় মনোযোগী হওয়া।,Bangla,Twitter (X),Neutral
যে কোনো পরিস্থিতিতে সংলাপই সবচেয়ে কার্যকর সমাধান।,Bangla,Twitter (X),Neutral
শিক্ষার্থীরা যদি সঠিক পথে থাকে তবে তাদের সমর্থন করা উচিত।,Bangla,Twitter (X),Neutral
উন্নত সমাজ গঠনে উভয় পক্ষের দায়িত্ব রয়েছে।,Bangla,Twitter (X),Neutral
সবাইকে শান্তিপূর্ণভাবে সমস্যার সমাধানে এগিয়ে আসা দরকার।,Bangla,Twitter (X),Neutral
রাজনৈতিক পরিবেশকে শিক্ষাক্ষেত্রে প্রভাবিত করা উচিত নয়।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের বক্তব্য মনোযোগ দিয়ে শোনা দরকার।,Bangla,Twitter (X),Neutral
সমস্যাগুলি দীর্ঘস্থায়ী না করতে দ্রুত সমাধান করা উচিত।,Bangla,Twitter (X),Neutral
ভবিষ্যতের জন্য এই পরিস্থিতি থেকে শিক্ষা নেওয়া গুরুত্বপূর্ণ।,Bangla,Twitter (X),Neutral
সব পক্ষের সহযোগিতায় একটি সুষ্ঠু পরিবেশ গড়ে তোলা সম্ভব।,Bangla,Twitter (X),Neutral
সমস্যার সমাধান হলে দেশের অগ্রগতি ত্বরান্বিত হবে।,Bangla,Twitter (X),Neutral
শান্তিপূর্ণ আন্দোলন একটি গণতান্ত্রিক অধিকারের অংশ।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের সুষ্ঠু পরিবেশে তাদের মতামত প্রকাশের সুযোগ থাকা দরকার।,Bangla,Twitter (X),Neutral
দেশের উন্নয়নে শিক্ষাক্ষেত্রের গুরুত্ব অগ্রাধিকারের তালিকায় থাকা উচিত।,Bangla,Twitter (X),Neutral
সংঘাতের পরিবর্তে আলোচনাই সবসময় ভালো সমাধান।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের প্রতি সরকারের সহানুভূতিশীল হওয়া উচিত।,Bangla,Twitter (X),Neutral
ছাত্রদের দাবিগুলোর গুরুত্ব বিবেচনা করে সঠিক পদক্ষেপ নেওয়া দরকার।,Bangla,Twitter (X),Neutral
শিক্ষার মানোন্নয়ন দেশের উন্নয়নের জন্য অপরিহার্য।,Bangla,Twitter (X),Neutral
মতবিরোধ হলেও সহিংসতা কখনো গ্রহণযোগ্য নয়।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের উত্থাপিত সমস্যাগুলো সমাধানে সক্রিয় হওয়া দরকার।,Bangla,Twitter (X),Neutral
সমস্যাগুলো দ্রুত সমাধান করা গেলে দেশের স্থিতিশীলতা বজায় থাকবে।,Bangla,Twitter (X),Neutral
শিক্ষার গুরুত্ব সম্পর্কে সবাইকে সচেতন হতে হবে।,Bangla,Twitter (X),Neutral
সরকারের উচিত শিক্ষার্থীদের সমস্যাগুলোকে অগ্রাধিকার দেওয়া।,Bangla,Twitter (X),Neutral
সমাধানের জন্য সব পক্ষের সহযোগিতা অপরিহার্য।,Bangla,Twitter (X),Neutral
গণতান্ত্রিক দেশে সংলাপ ও সমঝোতা একটি গুরুত্বপূর্ণ উপাদান।,Bangla,Twitter (X),Neutral
শিক্ষার উন্নয়নে সবাইকে একসঙ্গে কাজ করতে হবে।,Bangla,Twitter (X),Neutral
ছাত্রদের দাবিগুলো যেন সমাজে ইতিবাচক পরিবর্তন আনে।,Bangla,Twitter (X),Neutral
সংঘাতের পরিবর্তে উন্মুক্ত আলোচনা সমস্যা সমাধানে কার্যকর।,Bangla,Twitter (X),Neutral
সবার স্বার্থ বিবেচনায় একটি সমাধান খুঁজে পাওয়া উচিত।,Bangla,Twitter (X),Neutral
দেশের ভবিষ্যৎ গঠনে শিক্ষার্থীদের ভূমিকা অত্যন্ত গুরুত্বপূর্ণ।,Bangla,Twitter (X),Neutral
আলোচনার মাধ্যমে একটি স্থায়ী সমাধান পাওয়া সম্ভব।,Bangla,Twitter (X),Neutral
"শিক্ষার্থীদের কণ্ঠস্বর শোনা উচিত, কারণ তারা ভবিষ্যতের পথপ্রদর্শক।",Bangla,Twitter (X),Neutral
"সহিংসতা নয়, বরং যৌক্তিক সমাধানের পথেই সবাইকে এগিয়ে আসা উচিত।",Bangla,Twitter (X),Neutral
সরকারের উচিত শিক্ষার্থীদের সমস্যাগুলো গুরুত্ব সহকারে নেওয়া।,Bangla,Twitter (X),Neutral
শিক্ষার পরিবেশে শান্তি বজায় রাখা সবার দায়িত্ব।,Bangla,Twitter (X),Neutral
গণতান্ত্রিক দেশে মতপ্রকাশের স্বাধীনতা অত্যন্ত গুরুত্বপূর্ণ।,Bangla,Twitter (X),Neutral
আন্দোলনের উদ্দেশ্য যেন যৌক্তিক ও সবার মঙ্গলের জন্য হয়।,Bangla,Twitter (X),Neutral
উভয় পক্ষকেই সংযমী হয়ে সমাধানের পথ খুঁজতে হবে।,Bangla,Twitter (X),Neutral
সমস্যা সমাধানে সময়ক্ষেপণ না করে দ্রুত পদক্ষেপ নেওয়া দরকার।,Bangla,Twitter (X),Neutral
"শিক্ষার্থীরা ভবিষ্যতের সম্পদ, তাদের সুরক্ষা জরুরি।",Bangla,Twitter (X),Neutral
উভয় পক্ষের সম্মান বজায় রেখে সমাধানের জন্য আলোচনা করা উচিত।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের দাবিগুলো নিরপেক্ষভাবে মূল্যায়ন করা প্রয়োজন।,Bangla,Twitter (X),Neutral
রাজনৈতিক পরিস্থিতির প্রভাব শিক্ষার পরিবেশে পড়া উচিত নয়।,Bangla,Twitter (X),Neutral
শান্তিপূর্ণ সমাধানই একটি উন্নত সমাজের পরিচয়।,Bangla,Twitter (X),Neutral
সমস্যা সমাধানে উভয় পক্ষের দায়িত্বশীল ভূমিকা প্রয়োজন।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের দাবিগুলো গভীরভাবে পর্যবেক্ষণ করা উচিত।,Bangla,Twitter (X),Neutral
সংঘাত এড়িয়ে শান্তিপূর্ণ আলোচনার পথেই সমাধান সম্ভব।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের সমস্যা সমাধানে সরকারের দ্রুত পদক্ষেপ নেওয়া দরকার।,Bangla,Twitter (X),Neutral
সবাই মিলে দেশ ও জাতির উন্নতির জন্য কাজ করতে হবে।,Bangla,Twitter (X),Neutral
শিক্ষাক্ষেত্রে স্থিতিশীলতা বজায় রাখা অপরিহার্য।,Bangla,Twitter (X),Neutral
মতবিরোধ থাকা সত্ত্বেও সংলাপই একমাত্র পথ।,Bangla,Twitter (X),Neutral
যৌক্তিক দাবিগুলো মেনে নেওয়া সরকারের দায়িত্ব।,Bangla,Twitter (X),Neutral
উভয় পক্ষের মধ্যে একটি সমঝোতা স্থাপন করা জরুরি।,Bangla,Twitter (X),Neutral
দেশ গঠনে একে অপরের প্রতি সহযোগিতা অপরিহার্য।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের শান্তিপূর্ণ আন্দোলন গণতন্ত্রের একটি অংশ।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের কষ্টের কারণগুলো চিহ্নিত করে ব্যবস্থা নেওয়া উচিত।,Bangla,Twitter (X),Neutral
সমস্যা সমাধানে সরকারের সঠিক ও কার্যকর পদক্ষেপ প্রয়োজন।,Bangla,Twitter (X),Neutral
"সংঘাত নয়, আলোচনার মাধ্যমেই সমস্যার সমাধান সম্ভব।",Bangla,Twitter (X),Neutral
শিক্ষার পরিবেশ যাতে ক্ষতিগ্রস্ত না হয় তা নিশ্চিত করা দরকার।,Bangla,Twitter (X),Neutral
যৌক্তিক সমাধান সব পক্ষের জন্য মঙ্গলজনক হবে।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের ভবিষ্যতের কথা বিবেচনা করে কাজ করা উচিত।,Bangla,Twitter (X),Neutral
শিক্ষার পরিবেশ রক্ষা করা সবার দায়িত্ব।,Bangla,Twitter (X),Neutral
সমস্যা সমাধানে ধৈর্য ও সহমর্মিতা দেখানো প্রয়োজন।,Bangla,Twitter (X),Neutral
দেশের উন্নয়নে শিক্ষার ভূমিকা অগ্রাধিকার পাওয়া উচিত।,Bangla,Twitter (X),Neutral
মতবিরোধ থাকা সত্ত্বেও সমঝোতার পথে হাঁটা উচিত।,Bangla,Twitter (X),Neutral
ছাত্র আন্দোলনের চেতনা যেন দেশের উন্নয়নে সহায়ক হয়।,Bangla,Twitter (X),Neutral
সমস্যার দ্রুত সমাধান জাতীয় স্থিতিশীলতা নিশ্চিত করবে।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের প্রতি সরকার ও সমাজের দায়িত্বশীল হওয়া উচিত।,Bangla,Twitter (X),Neutral
পরিস্থিতি নিয়ন্ত্রণে রাখার জন্য উভয় পক্ষকেই শান্তিপূর্ণ থাকতে হবে।,Bangla,Twitter (X),Neutral
শিক্ষার্থীদের দাবিগুলো গভীরভাবে মূল্যায়ন করে দ্রুত পদক্ষেপ নেওয়া দরকার।,Bangla,Twitter (X),Neutral
মতবিরোধ থাকা সত্ত্বেও সমস্যা সমাধানের জন্য আলোচনাই সেরা পন্থা।,Bangla,Twitter (X),Neutral
"শিক্ষার্থীরা দেশের ভবিষ্যৎ, তাদের দাবি গুরুত্ব সহকারে নেওয়া উচিত।",Bangla,Twitter (X),Neutral
শান্তিপূর্ণ আন্দোলন গণতন্ত্রের একটি গুরুত্বপূর্ণ অংশ।,Bangla,Twitter (X),Neutral
সমস্যা সমাধানে সময়ক্ষেপণ না করে দ্রুত কার্যকর পদক্ষেপ নেওয়া প্রয়োজন।,Bangla,Twitter (X),Neutral
দেশের স্থিতিশীলতার জন্য একটি যৌক্তিক সমাধান অপরিহার্য।,Bangla,Twitter (X),Neutral
শিক্ষার পরিবেশে শান্তি বজায় রাখতে সবাইকে একসঙ্গে কাজ করতে হবে।,Bangla,Twitter (X),Neutral
"একটি যৌক্তিক, শান্তিপূর্ণ, অহিংস আন্দোলন করছিল  তখন কেনো আলোচনায় বসলেন না? এতো হত্যাযজ্ঞ চালালেন কেনো?",Bangla,Youtube,Positive
২/৩ লাখ আমলাকে বরখাস্ত করা হোক এবং যারা বড় বড় অন্যায় দুর্নীতিতে জড়িত তাদেরকে আইনের আওতায় আনা হোক তাহলেই বাকি সবাই সোজা হয়ে যাবেমলাকে বরখাস্ত করা হোক এবং যারা বড় বড় অন্যায় দুর্নীতিতে জড়িত তাদেরকে আইনের আওতায় আনা হোক তাহলেই বাকি সবাই সোজা হয়ে যাবে,Bangla,Youtube,Positive
বিগত ১৫ বছরে চিহ্নিত আওয়ামী লীগের দোসর এই আমলাদের খুঁজে বের করে চাকরি থেকে স্থায়ীভাবে বহিষ্কার ও শাস্তির ব্যবস্থা করতে হবে।,Bangla,Youtube,Positive
যে যত বড় ভারত বিদ্বেষী সে তত বড় বাংলাদেশ প্রেমিক।,Bangla,Youtube,Positive
"উনি দেশ ছাড়েননি, উনি পালিয়েছেন।",Bangla,Youtube,Positive
ঘৃণিত লোককে ঘৃণা করবে এটাই তো স্বাভাবিক।,Bangla,Youtube,Positive
দ্বিতীয় স্বাধীনতা বলতে কষ্ট হয়?,Bangla,Youtube,Positive
হাসিনাকে স্বৈরাচার বলতে কষ্ট হয়?,Bangla,Youtube,Positive
জয় বাংলা জয় বঙ্গবন্ধু মমতাময়ী মা দেশরত্ন শেখ হাসিনা সরকার বারবার দরকার,Bangla,Youtube,Negative
জয়বাংলা জয় বঙ্গবন্ধু। কিছু সন্ত্রাসী ছাত্রদের জন্য দেশে কোন শান্তি নেই।,Bangla,Youtube,Negative
সমন্বয়ক হঠাও দেশ বাঁচাতে এগিয়ে আসুন,Bangla,Youtube,Negative
"সব কয়টা রাজনৈতিক করে,এরা কেউ সাধারন শিক্ষার্থী নয়",Bangla,Youtube,Negative
৭১ এর স্বাধীনতা দেখি নাই তবে ২৪ এ স্বাধীনতায় রাজপথে থাকতে পেরেছি  আলহামদুলিল্লাহ ,Bangla,Youtube,Positive
বাবা তোর বয়স কত রে স্যালুট জানাই তোদের মত বীর যোদ্ধাদের।,Bangla,Youtube,Positive
"পরশু নয়, কালই লংমার্চ, ইতিহাসের সেরা সিদ্ধান্ত ছিলো!",Bangla,Youtube,Positive
এই ভাষণটা যতোবারই শুনি গায়ের পশম দাড়িয়ে যায় ! কী অসীম সাহস এই ছোট ছোট বাচ্চাদের বুকে আল্লাহ দিয়েছিলেন!,Bangla,Youtube,Positive
ভাই তোদের এই সিদ্ধান্তের জন্য আজ আমরা স্বাধীনতা পেয়েছি।,Bangla,Youtube,Positive
চোখের পানি ধরে রাখতে পারলাম না ভাই স্যালুট জানাই ছাত্র -ছাত্রী ভাই বোনদের ,Bangla,Youtube,Positive
ছাত্ররাই হবে পরবর্তী দেশনায়ক। ইনশাল্লাহ।,Bangla,Youtube,Positive
যতবার দেখছি ততবার শরীরের লোম দাড়ায় যাইতাছে,Bangla,Youtube,Positive
একটা রিকশাওয়ালাও এই অন্যায়ের মন থেকে প্রতিবাদ জানাচ্ছে,Bangla,Youtube,Positive
এই ১৫বছরে মানুষ যেভাবে অত্যাচার সহ্য করেছে আজ তারা মন খুলে বলতে পারছে,Bangla,Youtube,Positive
সত্যিই জেগে উঠেছে বাংলাদেশ।,Bangla,Youtube,Positive
১ দফা.....  কাল থেকে সবাইকে লাঠি মহিলাদের ঝাডু হাতে আসার আহবান ,Bangla,Youtube,Positive
প্রতিবাদের ভাষার ডাইভারসিটি। এক কথায় অসাধারণ। বিজয় আমাদের হবেই। ইতিহাসের সাক্ষী হয়ে গেলাম।,Bangla,Youtube,Positive
সত্যিই আমি ভেবেছিলাম দেশটা মনে হয় চিরতরে ধ্বংস হয়ে গেছে!! কিন্তু এই জেনারেশনের ছেলেরা যে এতো সাহসী তা কল্পনাও করি নাই। তোমরাই দেশ চালাবে একদিন ইন'শা'আল্লাহ,Bangla,Facebook,Positive
এক দফা এক দাবি ক্ষমতা ছেড়ে কখন যাবি,Bangla,Facebook,Positive
চাচতো ভাই ও বোনেরা তোমরা মাঠে থাকোআমরা প্রবাসী ভাইয়েরা তোমরা সাথে আছি একমত,Bangla,Facebook,Positive
“স্বৈরাচারমুক্ত বাংলাদেশ চাই”,Bangla,Facebook,Positive
সত্যিকারের স্বাধীন নতুন এক বাংলাদেশের ভবিষ্যৎ দেখতে পাচ্ছি।,Bangla,Facebook,Positive
কাল হাতে হাতে লাঠি নিয়ে আসতে হবে,Bangla,Facebook,Positive
কথা বলার ভাষা কেড়ে নিতে চেয়েছে ১৫ বছর ধরে এখন মন খুলে কথা বলছে ,Bangla,Facebook,Positive
একদফা একদাবির সাথে সহমত পোষণ করছি!! সকল কে লাল শুভেচ্ছা !! আপনারা এগিয়ে যান বিজয় হবেই ইনশাআল্লাহ!!!,Bangla,Facebook,Positive
আমাদের বাংলাদেশের আকাশ থেকে কালো মেঘ উড়ে যাক আবার শান্তির পায়রা উড়ুক।,Bangla,Facebook,Positive
এই সরকারের পতন হলে একটা মন্ত্রী ও যেন দেশ ছেড়ে পালাইতে না পারে সেই দিকে নজর রাখতে হবে ভাইয়েরা ,Bangla,Facebook,Positive
এতদিন শুধু বই পুস্তকে পড়েছিলাম অসহযোগ আন্দোলনের কথা কাল হয়তো দেখতে যাচ্ছি সেই অসহযোগ আন্দোলন আমার সোনার বাংলাদেশ,Bangla,Facebook,Positive
রক্ত খেকো মা তোমার অভিনয় আর মানুষ গেলে না তুমি যত দ্রুত সম্ভব গণভবন ত্যাগ কর,Bangla,Facebook,Positive
আলহামদুলিল্লাহ আমরাও সাধারণ মানুষ সাধারণ শিক্ষার্থীদের সাথে আছি এবং থাকবো মহান আল্লাহ তায়ালা সাহায্য করুন।।,Bangla,Facebook,Positive
সঠিক সিদ্ধান্ত নেওয়ার জন্য অসংখ্য ধন্যবাদ সমন্বয়কদের,Bangla,Facebook,Positive
ছাত্রদের বিজয় আসবে ইনশাল্লাহ,Bangla,Facebook,Positive
জেগে ওঠো বন্ধুরা সবাই এক হও এক দফা এক দাবি সবাই রাস্তায় আসো আর ঘুমিয়ে থেকো না,Bangla,Facebook,Positive
রক্তে আগুন ছাত্রদের।। আল্লাহ কি অদম্য সাহস দিয়েছো তুমি ছাত্রদের মাঝে? বাংলার এক একটি বাঘ যেন ওরা,Bangla,Facebook,Positive
ক্ষমা নয় পদত্যাগ চাই।,Bangla,Facebook,Positive
"আপা ডাকছে, আলোচনায় আসেন গণভবনের দরজা খোলা। ছাত্রদের জবাব, সে দরজা দিয়ে আপনি বেরিয়ে যান, ব্যাস।",Bangla,Facebook,Positive
কোনো বৈঠক নেই সব হবে রাজপথে ইনশাআল্লাহ,Bangla,Facebook,Positive
ভাই আমি সবাইকে অনুরোধ করবো। আগামীকাল অসহযোগ আন্দোলনে হাতে বাঁশ নিয়ে বাংলাদেশের পতাকা জুলিয়ে আনবেন যাতে করে নিজেকে নিরাপত্তা রাখা যায়।,Bangla,Facebook,Positive
আমরা সংলাপ চাইনা। আমরা আমাদের ভাই বোনদের রক্তের হিসেব চাই। আমরা এই নেত্রীর পদত্যাগ চাই,Bangla,Facebook,Positive
"একটি যৌক্তিক, শান্তিপূর্ণ, অহিংস আন্দোলন করছিল  তখন কেনো আলোচনায় বসলেন না? এতো হত্যাযজ্ঞ চালালেন কেনো?",Bangla,Facebook,Positive
আমি যুদ্ধ দেখেনি দেখেছি ২০২৪ এর নতুন ইতিহাস আসা করছি দেশ স্বাধীন হবে ইনশাআল্লাহ,Bangla,Facebook,Positive
কোন সংলাপ হবে না। পদত্যাগ চাই এবং কঠোর শাস্তি চাই,Bangla,Facebook,Positive
"একটি যৌক্তিক, শান্তিপূর্ণ, অহিংস আন্দোলন করছিল  তখন কেনো আলোচনায় বসলেন না? এতো হত্যাযজ্ঞ চালালেন কেনো?",Bangla,Facebook,Positive
কোন সংলাপ হবে না। পদত্যাগ চাই এবং কঠোর শাস্তি চাই,Bangla,Facebook,Positive
"সব কয়টা রাজনৈতিক করে,এরা কেউ সাধারন শিক্ষার্থী নয়",Bangla,Facebook,Negative
বৈষম্যবিরোধী আন্দোলন করতে গিয়ে যারা শহীদ হয়েছে আল্লাহ তায়ালা তাদের জান্নাত দান করুন।,Bangla,Facebook,Positive
"রাষ্ট্রপতির দ্রুত পদত্যাগ চাই, না হলে সামনে সমূহ বিপদ।",Bangla,Facebook,Positive
